BfsId;Kanton;Jahr;Gemeindename;SteuerfussKanton;SteuerfussGemeinde;KircheRef;KircheRoemischKatholisch;KircheChristKatholisch;JuristPerson
3426;SG;2019;Zuzwil;115;87;23;21;24;0.00
3426;SG;2018;Zuzwil;115;92;23;21;24;0.00
