00OW               20191119                                                                                   
0601OWA0N       20200101000645100000005000 0000006280000970   
0601OWA0N       20200101000650100000005000 0000006360000975   
0601OWA0N       20200101000655100000005000 0000006440000979   
0601OWA0N       20200101000660100000005000 0000006510000983   
0601OWA0N       20200101000665100000005000 0000006580000986   
0601OWA0N       20200101000670100000005000 0000006650000989   
0601OWA0N       20200101000675100000005000 0000006720000992   
0601OWA0N       20200101000680100000005000 0000006810000998   
0601OWA0N       20200101000685100000005000 0000006880001001   
0601OWA0N       20200101000690100000005000 0000006950001004   
0601OWA0N       20200101000695100000005000 0000007020001006   
0601OWA0N       20200101000700100000005000 0000007090001009   
0601OWA0N       20200101000705100000005000 0000007180001015   
0601OWA0N       20200101000710100000005000 0000007250001018   
0601OWA0N       20200101000715100000005000 0000007320001020   
0601OWA0N       20200101000720100000005000 0000007390001023   
0601OWA0N       20200101000725100000005000 0000007460001025   
0601OWA0N       20200101000730100000005000 0000007540001029   
0601OWA0N       20200101000735100000005000 0000007620001033   
0601OWA0N       20200101000740100000005000 0000007690001036   
0601OWA0N       20200101000745100000005000 0000007760001038   
0601OWA0N       20200101000750100000005000 0000007840001042   
0601OWA0N       20200101000755100000005000 0000007910001044   
0601OWA0N       20200101000760100000005000 0000007980001047   
0601OWA0N       20200101000765100000005000 0000008060001050   
0601OWA0N       20200101000770100000005000 0000008130001052   
0601OWA0N       20200101000775100000005000 0000008210001056   
0601OWA0N       20200101000780100000005000 0000008300001061   
0601OWA0N       20200101000785100000005000 0000008380001064   
0601OWA0N       20200101000790100000005000 0000008460001068   
0601OWA0N       20200101000795100000005000 0000008550001072   
0601OWA0N       20200101000800100000005000 0000008640001077   
0601OWA0N       20200101000805100000005000 0000008720001080   
0601OWA0N       20200101000810100000005000 0000008810001084   
0601OWA0N       20200101000815100000005000 0000008890001087   
0601OWA0N       20200101000820100000005000 0000008970001091   
0601OWA0N       20200101000825100000005000 0000009070001096   
0601OWA0N       20200101000830100000005000 0000009150001099   
0601OWA0N       20200101000835100000005000 0000009230001102   
0601OWA0N       20200101000840100000005000 0000009320001106   
0601OWA0N       20200101000845100000005000 0000009420001112   
0601OWA0N       20200101000850100000005000 0000009500001114   
0601OWA0N       20200101000855100000005000 0000009590001118   
0601OWA0N       20200101000860100000005000 0000009670001121   
0601OWA0N       20200101000865100000005000 0000009760001125   
0601OWA0N       20200101000870100000005000 0000009860001130   
0601OWA0N       20200101000875100000005000 0000009940001133   
0601OWA0N       20200101000880100000005000 0000010030001137   
0601OWA0N       20200101000885100000005000 0000010110001139   
0601OWA0N       20200101000890100000005000 0000010200001143   
0601OWA0N       20200101000895100000005000 0000010300001148   
0601OWA0N       20200101000900100000005000 0000010380001150   
0601OWA0N       20200101000905100000005000 0000010470001154   
0601OWA0N       20200101000910100000005000 0000010550001156   
0601OWA0N       20200101000915100000005000 0000010640001160   
0601OWA0N       20200101000920100000005000 0000010730001163   
0601OWA0N       20200101000925100000005000 0000010820001167   
0601OWA0N       20200101000930100000005000 0000010910001170   
0601OWA0N       20200101000935100000005000 0000011000001173   
0601OWA0N       20200101000940100000005000 0000011080001176   
0601OWA0N       20200101000945100000005000 0000011180001180   
0601OWA0N       20200101000950100000005000 0000011260001182   
0601OWA0N       20200101000955100000005000 0000011350001185   
0601OWA0N       20200101000960100000005000 0000011430001188   
0601OWA0N       20200101000965100000005000 0000011530001192   
0601OWA0N       20200101000970100000005000 0000011620001195   
0601OWA0N       20200101000975100000005000 0000011700001197   
0601OWA0N       20200101000980100000005000 0000011790001200   
0601OWA0N       20200101000985100000005000 0000011870001202   
0601OWA0N       20200101000990100000005000 0000011970001206   
0601OWA0N       20200101000995100000005000 0000012060001209   
0601OWA0N       20200101001000100000005000 0000012140001211   
0601OWA0N       20200101001005100000005000 0000012230001214   
0601OWA0N       20200101001010100000005000 0000012310001216   
0601OWA0N       20200101001015100000005000 0000012410001220   
0601OWA0N       20200101001020100000005000 0000012500001222   
0601OWA0N       20200101001025100000005000 0000012580001224   
0601OWA0N       20200101001030100000005000 0000012670001227   
0601OWA0N       20200101001035100000005000 0000012750001229   
0601OWA0N       20200101001040100000005000 0000012850001233   
0601OWA0N       20200101001045100000005000 0000012930001234   
0601OWA0N       20200101001050100000005000 0000013020001237   
0601OWA0N       20200101001055100000005000 0000013100001239   
0601OWA0N       20200101001060100000005000 0000013200001242   
0601OWA0N       20200101001065100000005000 0000013290001245   
0601OWA0N       20200101001070100000005000 0000013370001247   
0601OWA0N       20200101001075100000005000 0000013460001249   
0601OWA0N       20200101001080100000005000 0000013540001251   
0601OWA0N       20200101001085100000005000 0000013640001254   
0601OWA0N       20200101001090100000005000 0000013740001258   
0601OWA0N       20200101001095100000005000 0000013830001260   
0601OWA0N       20200101001100100000005000 0000013930001263   
0601OWA0N       20200101001105100000005000 0000014030001267   
0601OWA0N       20200101001110100000005000 0000014130001270   
0601OWA0N       20200101001115100000005000 0000014230001273   
0601OWA0N       20200101001120100000005000 0000014320001276   
0601OWA0N       20200101001125100000005000 0000014410001278   
0601OWA0N       20200101001130100000005000 0000014510001281   
0601OWA0N       20200101001135100000005000 0000014620001285   
0601OWA0N       20200101001140100000005000 0000014710001288   
0601OWA0N       20200101001145100000005000 0000014810001291   
0601OWA0N       20200101001150100000005000 0000014900001293   
0601OWA0N       20200101001155100000005000 0000015000001296   
0601OWA0N       20200101001160100000005000 0000015110001300   
0601OWA0N       20200101001165100000005000 0000015200001302   
0601OWA0N       20200101001170100000005000 0000015300001305   
0601OWA0N       20200101001175100000005000 0000015390001307   
0601OWA0N       20200101001180100000005000 0000015500001311   
0601OWA0N       20200101001185100000005000 0000015600001314   
0601OWA0N       20200101001190100000005000 0000015690001316   
0601OWA0N       20200101001195100000005000 0000015780001318   
0601OWA0N       20200101001200100000005000 0000015880001321   
0601OWA0N       20200101001205100000005000 0000015990001324   
0601OWA0N       20200101001210100000005000 0000016090001327   
0601OWA0N       20200101001215100000005000 0000016180001329   
0601OWA0N       20200101001220100000005000 0000016270001331   
0601OWA0N       20200101001225100000005000 0000016370001334   
0601OWA0N       20200101001230100000005000 0000016480001337   
0601OWA0N       20200101001235100000005000 0000016570001339   
0601OWA0N       20200101001240100000005000 0000016670001342   
0601OWA0N       20200101001245100000005000 0000016780001345   
0601OWA0N       20200101001250100000005000 0000016870001347   
0601OWA0N       20200101001255100000005000 0000016970001350   
0601OWA0N       20200101001260100000005000 0000017080001353   
0601OWA0N       20200101001265100000005000 0000017170001355   
0601OWA0N       20200101001270100000005000 0000017270001357   
0601OWA0N       20200101001275100000005000 0000017360001359   
0601OWA0N       20200101001280100000005000 0000017480001363   
0601OWA0N       20200101001285100000005000 0000017570001365   
0601OWA0N       20200101001290100000005000 0000017660001366   
0601OWA0N       20200101001295100000005000 0000017780001370   
0601OWA0N       20200101001300100000005000 0000017870001372   
0601OWA0N       20200101001305100000005000 0000017960001374   
0601OWA0N       20200101001310100000005000 0000018080001378   
0601OWA0N       20200101001315100000005000 0000018170001379   
0601OWA0N       20200101001320100000005000 0000018260001381   
0601OWA0N       20200101001325100000005000 0000018380001385   
0601OWA0N       20200101001330100000005000 0000018470001386   
0601OWA0N       20200101001335100000005000 0000018570001388   
0601OWA0N       20200101001340100000005000 0000018680001391   
0601OWA0N       20200101001345100000005000 0000018770001393   
0601OWA0N       20200101001350100000005000 0000018870001395   
0601OWA0N       20200101001355100000005000 0000018980001398   
0601OWA0N       20200101001360100000005000 0000019070001400   
0601OWA0N       20200101001365100000005000 0000019170001402   
0601OWA0N       20200101001370100000005000 0000019280001405   
0601OWA0N       20200101001375100000005000 0000019370001406   
0601OWA0N       20200101001380100000005000 0000019470001408   
0601OWA0N       20200101001385100000005000 0000019590001412   
0601OWA0N       20200101001390100000005000 0000019690001414   
0601OWA0N       20200101001395100000005000 0000019800001417   
0601OWA0N       20200101001400100000005000 0000019920001420   
0601OWA0N       20200101001405100000005000 0000020020001422   
0601OWA0N       20200101001410100000005000 0000020120001424   
0601OWA0N       20200101001415100000005000 0000020250001429   
0601OWA0N       20200101001420100000005000 0000020350001431   
0601OWA0N       20200101001425100000005000 0000020450001433   
0601OWA0N       20200101001430100000005000 0000020580001437   
0601OWA0N       20200101001435100000005000 0000020680001439   
0601OWA0N       20200101001440100000005000 0000020780001441   
0601OWA0N       20200101001445100000005000 0000020880001442   
0601OWA0N       20200101001450100000005000 0000021010001446   
0601OWA0N       20200101001455100000005000 0000021110001448   
0601OWA0N       20200101001460100000005000 0000021210001450   
0601OWA0N       20200101001465100000005000 0000021330001453   
0601OWA0N       20200101001470100000005000 0000021440001456   
0601OWA0N       20200101001475100000005000 0000021540001458   
0601OWA0N       20200101001480100000005000 0000021660001461   
0601OWA0N       20200101001485100000005000 0000021760001463   
0601OWA0N       20200101001490100000005000 0000021870001465   
0601OWA0N       20200101001495100000005000 0000021990001468   
0601OWA0N       20200101001500100000500000 0000027500001571   
0601OWA0N       20200101002000100000500000 0000039280001746   
0601OWA0N       20200101002500100000500000 0000051090001858   
0601OWA0N       20200101003000100000500000 0000062930001936   
0601OWA0N       20200101003500100000500000 0000074740001993   
0601OWA0N       20200101004000100000500000 0000086550002036   
0601OWA0N       20200101004500100000500000 0000098390002071   
0601OWA0N       20200101005000100000500000 0000110200002099   
0601OWA0N       20200101005500100000500000 0000122020002122   
0601OWA0N       20200101006000100000500000 0000133850002142   
0601OWA0N       20200101006500100000500000 0000145660002158   
0601OWA0N       20200101007000100000500000 0000157420002171   
0601OWA0N       20200101007500100000500000 0000168550002175   
0601OWA0N       20200101008000100000500000 0000179660002178   
0601OWA0N       20200101008500100000500000 0000190770002180   
0601OWA0N       20200101009000100000500000 0000201910002183   
0601OWA0N       20200101009500100000500000 0000213020002185   
0601OWA0N       20200101010000100000500000 0000224150002187   
0601OWA0N       20200101010500100000500000 0000235260002188   
0601OWA0N       20200101011000100000500000 0000246370002190   
0601OWA0N       20200101011500100000500000 0000257500002191   
0601OWA0N       20200101012000100000500000 0000268610002193   
0601OWA0N       20200101012500100000500000 0000279720002194   
0601OWA0N       20200101013000100000500000 0000290850002195   
0601OWA0N       20200101013500100000500000 0000301960002196   
0601OWA0N       20200101014000100000500000 0000313070002197   
0601OWA0N       20200101014500100000500000 0000324210002198   
0601OWA0N       20200101015000100000500000 0000335320002199   
0601OWA0N       20200101015500100000500000 0000346430002200   
0601OWA0N       20200101016000100000500000 0000357560002200   
0601OWA0N       20200101016500100000500000 0000368670002201   
0601OWA0N       20200101017000100000500000 0000379780002202   
0601OWA0N       20200101017500100000500000 0000390910002202   
0601OWA0N       20200101018000100000500000 0000402020002203   
0601OWA0N       20200101018500100000500000 0000413130002203   
0601OWA0N       20200101019000100000500000 0000424260002204   
0601OWA0N       20200101019500100000500000 0000435370002204   
0601OWA1N       20200101000000100000040000 0100000030000000   
0601OWA1N       20200101000040100000005000 0100000030000071   
0601OWA1N       20200101000045100000005000 0100000030000063   
0601OWA1N       20200101000050100000005000 0100000030000057   
0601OWA1N       20200101000055100000005000 0100000030000052   
0601OWA1N       20200101000060100000005000 0100000030000048   
0601OWA1N       20200101000065100000005000 0100000030000044   
0601OWA1N       20200101000070100000005000 0100000030000041   
0601OWA1N       20200101000075100000005000 0100000030000039   
0601OWA1N       20200101000080100000005000 0100000030000036   
0601OWA1N       20200101000085100000005000 0100000030000034   
0601OWA1N       20200101000090100000005000 0100000030000032   
0601OWA1N       20200101000095100000005000 0100000030000031   
0601OWA1N       20200101000100100000005000 0100000030000029   
0601OWA1N       20200101000105100000005000 0100000030000028   
0601OWA1N       20200101000110100000005000 0100000030000027   
0601OWA1N       20200101000115100000005000 0100000030000026   
0601OWA1N       20200101000120100000005000 0100000030000024   
0601OWA1N       20200101000125100000005000 0100000030000024   
0601OWA1N       20200101000130100000005000 0100000030000023   
0601OWA1N       20200101000135100000005000 0100000030000022   
0601OWA1N       20200101000140100000005000 0100000030000021   
0601OWA1N       20200101000145100000005000 0100000030000020   
0601OWA1N       20200101000150100000005000 0100000030000020   
0601OWA1N       20200101000155100000005000 0100000030000019   
0601OWA1N       20200101000160100000005000 0100000030000018   
0601OWA1N       20200101000165100000005000 0100000030000018   
0601OWA1N       20200101000170100000005000 0100000030000017   
0601OWA1N       20200101000175100000005000 0100000030000017   
0601OWA1N       20200101000180100000005000 0100000030000016   
0601OWA1N       20200101000185100000005000 0100000030000016   
0601OWA1N       20200101000190100000005000 0100000030000016   
0601OWA1N       20200101000195100000005000 0100000030000015   
0601OWA1N       20200101000200100000005000 0100000030000015   
0601OWA1N       20200101000205100000005000 0100000030000014   
0601OWA1N       20200101000210100000005000 0100000030000014   
0601OWA1N       20200101000215100000005000 0100000030000014   
0601OWA1N       20200101000220100000005000 0100000030000013   
0601OWA1N       20200101000225100000005000 0100000030000013   
0601OWA1N       20200101000230100000005000 0100000030000013   
0601OWA1N       20200101000235100000005000 0100000030000013   
0601OWA1N       20200101000240100000005000 0100000030000012   
0601OWA1N       20200101000245100000005000 0100000030000012   
0601OWA1N       20200101000250100000005000 0100000030000012   
0601OWA1N       20200101000255100000005000 0100000030000012   
0601OWA1N       20200101000260100000005000 0100000030000011   
0601OWA1N       20200101000265100000005000 0100000030000011   
0601OWA1N       20200101000270100000005000 0100000080000029   
0601OWA1N       20200101000275100000005000 0100000140000050   
0601OWA1N       20200101000280100000005000 0100000210000074   
0601OWA1N       20200101000285100000005000 0100000270000094   
0601OWA1N       20200101000290100000005000 0100000330000113   
0601OWA1N       20200101000295100000005000 0100000390000131   
0601OWA1N       20200101000300100000005000 0100000470000155   
0601OWA1N       20200101000305100000005000 0100000530000172   
0601OWA1N       20200101000310100000005000 0100000600000192   
