00AR               20191119                                                                                   
0601ARA0N       20200101000720100000005000 0000008610001192   
0601ARA0N       20200101000725100000005000 0000008710001197   
0601ARA0N       20200101000730100000005000 0000008820001204   
0601ARA0N       20200101000735100000005000 0000008910001208   
0601ARA0N       20200101000740100000005000 0000009000001212   
0601ARA0N       20200101000745100000005000 0000009100001217   
0601ARA0N       20200101000750100000005000 0000009210001223   
0601ARA0N       20200101000755100000005000 0000009300001228   
0601ARA0N       20200101000760100000005000 0000009390001232   
0601ARA0N       20200101000765100000005000 0000009490001236   
0601ARA0N       20200101000770100000005000 0000009590001241   
0601ARA0N       20200101000775100000005000 0000009700001248   
0601ARA0N       20200101000780100000005000 0000009810001254   
0601ARA0N       20200101000785100000005000 0000009920001260   
0601ARA0N       20200101000790100000005000 0000010030001265   
0601ARA0N       20200101000795100000005000 0000010140001271   
0601ARA0N       20200101000800100000005000 0000010260001279   
0601ARA0N       20200101000805100000005000 0000010370001284   
0601ARA0N       20200101000810100000005000 0000010480001290   
0601ARA0N       20200101000815100000005000 0000010590001295   
0601ARA0N       20200101000820100000005000 0000010690001300   
0601ARA0N       20200101000825100000005000 0000010820001307   
0601ARA0N       20200101000830100000005000 0000010930001313   
0601ARA0N       20200101000835100000005000 0000011040001318   
0601ARA0N       20200101000840100000005000 0000011150001324   
0601ARA0N       20200101000845100000005000 0000011280001331   
0601ARA0N       20200101000850100000005000 0000011390001336   
0601ARA0N       20200101000855100000005000 0000011500001341   
0601ARA0N       20200101000860100000005000 0000011610001346   
0601ARA0N       20200101000865100000005000 0000011720001351   
0601ARA0N       20200101000870100000005000 0000011850001358   
0601ARA0N       20200101000875100000005000 0000011950001362   
0601ARA0N       20200101000880100000005000 0000012070001367   
0601ARA0N       20200101000885100000005000 0000012170001372   
0601ARA0N       20200101000890100000005000 0000012280001376   
0601ARA0N       20200101000895100000005000 0000012410001382   
0601ARA0N       20200101000900100000005000 0000012520001387   
0601ARA0N       20200101000905100000005000 0000012630001392   
0601ARA0N       20200101000910100000005000 0000012740001396   
0601ARA0N       20200101000915100000005000 0000012850001400   
0601ARA0N       20200101000920100000005000 0000012980001407   
0601ARA0N       20200101000925100000005000 0000013090001411   
0601ARA0N       20200101000930100000005000 0000013200001415   
0601ARA0N       20200101000935100000005000 0000013310001420   
0601ARA0N       20200101000940100000005000 0000013420001424   
0601ARA0N       20200101000945100000005000 0000013550001430   
0601ARA0N       20200101000950100000005000 0000013660001434   
0601ARA0N       20200101000955100000005000 0000013770001438   
0601ARA0N       20200101000960100000005000 0000013880001442   
0601ARA0N       20200101000965100000005000 0000014010001448   
0601ARA0N       20200101000970100000005000 0000014120001452   
0601ARA0N       20200101000975100000005000 0000014230001455   
0601ARA0N       20200101000980100000005000 0000014340001459   
0601ARA0N       20200101000985100000005000 0000014450001463   
0601ARA0N       20200101000990100000005000 0000014580001469   
0601ARA0N       20200101000995100000005000 0000014690001472   
0601ARA0N       20200101001000100000005000 0000014800001476   
0601ARA0N       20200101001005100000005000 0000014910001480   
0601ARA0N       20200101001010100000005000 0000015020001483   
0601ARA0N       20200101001015100000005000 0000015150001489   
0601ARA0N       20200101001020100000005000 0000015260001493   
0601ARA0N       20200101001025100000005000 0000015370001496   
0601ARA0N       20200101001030100000005000 0000015480001500   
0601ARA0N       20200101001035100000005000 0000015590001503   
0601ARA0N       20200101001040100000005000 0000015720001508   
0601ARA0N       20200101001045100000005000 0000015830001511   
0601ARA0N       20200101001050100000005000 0000015940001515   
0601ARA0N       20200101001055100000005000 0000016050001518   
0601ARA0N       20200101001060100000005000 0000016180001523   
0601ARA0N       20200101001065100000005000 0000016290001526   
0601ARA0N       20200101001070100000005000 0000016400001529   
0601ARA0N       20200101001075100000005000 0000016520001533   
0601ARA0N       20200101001080100000005000 0000016630001536   
0601ARA0N       20200101001085100000005000 0000016760001542   
0601ARA0N       20200101001090100000005000 0000016880001545   
0601ARA0N       20200101001095100000005000 0000017000001549   
0601ARA0N       20200101001100100000005000 0000017120001553   
0601ARA0N       20200101001105100000005000 0000017250001558   
0601ARA0N       20200101001110100000005000 0000017390001563   
0601ARA0N       20200101001115100000005000 0000017510001567   
0601ARA0N       20200101001120100000005000 0000017630001570   
0601ARA0N       20200101001125100000005000 0000017750001575   
0601ARA0N       20200101001130100000005000 0000017870001578   
0601ARA0N       20200101001135100000005000 0000018010001583   
0601ARA0N       20200101001140100000005000 0000018140001588   
0601ARA0N       20200101001145100000005000 0000018260001591   
0601ARA0N       20200101001150100000005000 0000018380001595   
0601ARA0N       20200101001155100000005000 0000018510001599   
0601ARA0N       20200101001160100000005000 0000018640001604   
0601ARA0N       20200101001165100000005000 0000018760001607   
0601ARA0N       20200101001170100000005000 0000018890001611   
0601ARA0N       20200101001175100000005000 0000019010001614   
0601ARA0N       20200101001180100000005000 0000019140001619   
0601ARA0N       20200101001185100000005000 0000019270001623   
0601ARA0N       20200101001190100000005000 0000019390001626   
0601ARA0N       20200101001195100000005000 0000019510001629   
0601ARA0N       20200101001200100000005000 0000019640001633   
0601ARA0N       20200101001205100000005000 0000019780001638   
0601ARA0N       20200101001210100000005000 0000019900001641   
0601ARA0N       20200101001215100000005000 0000020020001645   
0601ARA0N       20200101001220100000005000 0000020140001648   
0601ARA0N       20200101001225100000005000 0000020260001651   
0601ARA0N       20200101001230100000005000 0000020410001656   
0601ARA0N       20200101001235100000005000 0000020530001659   
0601ARA0N       20200101001240100000005000 0000020650001662   
0601ARA0N       20200101001245100000005000 0000020800001667   
0601ARA0N       20200101001250100000005000 0000020920001670   
0601ARA0N       20200101001255100000005000 0000021050001674   
0601ARA0N       20200101001260100000005000 0000021190001679   
0601ARA0N       20200101001265100000005000 0000021320001682   
0601ARA0N       20200101001270100000005000 0000021440001685   
0601ARA0N       20200101001275100000005000 0000021570001688   
0601ARA0N       20200101001280100000005000 0000021710001693   
0601ARA0N       20200101001285100000005000 0000021830001696   
0601ARA0N       20200101001290100000005000 0000021960001699   
0601ARA0N       20200101001295100000005000 0000022100001703   
0601ARA0N       20200101001300100000005000 0000022220001706   
0601ARA0N       20200101001305100000005000 0000022350001710   
0601ARA0N       20200101001310100000005000 0000022490001714   
0601ARA0N       20200101001315100000005000 0000022620001717   
0601ARA0N       20200101001320100000005000 0000022750001720   
0601ARA0N       20200101001325100000005000 0000022890001724   
0601ARA0N       20200101001330100000005000 0000023010001727   
0601ARA0N       20200101001335100000005000 0000023140001730   
0601ARA0N       20200101001340100000005000 0000023280001734   
0601ARA0N       20200101001345100000005000 0000023400001737   
0601ARA0N       20200101001350100000005000 0000023530001740   
0601ARA0N       20200101001355100000005000 0000023670001744   
0601ARA0N       20200101001360100000005000 0000023800001746   
0601ARA0N       20200101001365100000005000 0000023930001750   
0601ARA0N       20200101001370100000005000 0000024070001753   
0601ARA0N       20200101001375100000005000 0000024190001756   
0601ARA0N       20200101001380100000005000 0000024330001760   
0601ARA0N       20200101001385100000005000 0000024480001765   
0601ARA0N       20200101001390100000005000 0000024620001768   
0601ARA0N       20200101001395100000005000 0000024760001771   
0601ARA0N       20200101001400100000005000 0000024910001776   
0601ARA0N       20200101001405100000005000 0000025040001779   
0601ARA0N       20200101001410100000005000 0000025180001783   
0601ARA0N       20200101001415100000005000 0000025330001787   
0601ARA0N       20200101001420100000005000 0000025460001790   
0601ARA0N       20200101001425100000005000 0000025600001793   
0601ARA0N       20200101001430100000005000 0000025750001798   
0601ARA0N       20200101001435100000005000 0000025880001801   
0601ARA0N       20200101001440100000005000 0000026020001804   
0601ARA0N       20200101001445100000005000 0000026160001807   
0601ARA0N       20200101001450100000005000 0000026300001811   
0601ARA0N       20200101001455100000005000 0000026450001814   
0601ARA0N       20200101001460100000005000 0000026580001817   
0601ARA0N       20200101001465100000005000 0000026730001821   
0601ARA0N       20200101001470100000005000 0000026870001825   
0601ARA0N       20200101001475100000005000 0000027000001827   
0601ARA0N       20200101001480100000005000 0000027150001831   
0601ARA0N       20200101001485100000005000 0000027290001835   
0601ARA0N       20200101001490100000005000 0000027420001837   
