00VD               20191128                                                                                   
0601VDA0N       20200101000840100000005000 0000000000001604   
0601VDA0N       20200101000845100000005000 0000000000001611   
0601VDA0N       20200101000850100000005000 0000000000001617   
0601VDA0N       20200101000855100000005000 0000000000001624   
0601VDA0N       20200101000860100000005000 0000000000001630   
0601VDA0N       20200101000865100000005000 0000000000001635   
0601VDA0N       20200101000870100000005000 0000000000001641   
0601VDA0N       20200101000875100000005000 0000000000001647   
0601VDA0N       20200101000880100000005000 0000000000001655   
0601VDA0N       20200101000885100000005000 0000000000001661   
0601VDA0N       20200101000890100000005000 0000000000001667   
0601VDA0N       20200101000895100000005000 0000000000001673   
0601VDA0N       20200101000900100000005000 0000000000001678   
0601VDA0N       20200101000905100000005000 0000000000001683   
0601VDA0N       20200101000910100000005000 0000000000001689   
0601VDA0N       20200101000915100000005000 0000000000001695   
0601VDA0N       20200101000920100000005000 0000000000001701   
0601VDA0N       20200101000925100000005000 0000000000001708   
0601VDA0N       20200101000930100000005000 0000000000001714   
0601VDA0N       20200101000935100000005000 0000000000001720   
0601VDA0N       20200101000940100000005000 0000000000001726   
0601VDA0N       20200101000945100000005000 0000000000001732   
0601VDA0N       20200101000950100000005000 0000000000001737   
0601VDA0N       20200101000955100000005000 0000000000001743   
0601VDA0N       20200101000960100000005000 0000000000001749   
0601VDA0N       20200101000965100000005000 0000000000001755   
0601VDA0N       20200101000970100000005000 0000000000001761   
0601VDA0N       20200101000975100000005000 0000000000001766   
0601VDA0N       20200101000980100000005000 0000000000001771   
0601VDA0N       20200101000985100000005000 0000000000001777   
0601VDA0N       20200101000990100000005000 0000000000001783   
0601VDA0N       20200101000995100000005000 0000000000001787   
0601VDA0N       20200101001000100000005000 0000000000001793   
0601VDA0N       20200101001005100000005000 0000000000001798   
0601VDA0N       20200101001010100000005000 0000000000001803   
0601VDA0N       20200101001015100000005000 0000000000001812   
0601VDA0N       20200101001020100000005000 0000000000001816   
0601VDA0N       20200101001025100000005000 0000000000001822   
0601VDA0N       20200101001030100000005000 0000000000001826   
0601VDA0N       20200101001035100000005000 0000000000001831   
0601VDA0N       20200101001040100000005000 0000000000001837   
0601VDA0N       20200101001045100000005000 0000000000001841   
0601VDA0N       20200101001050100000005000 0000000000001846   
0601VDA0N       20200101001055100000005000 0000000000001850   
0601VDA0N       20200101001060100000005000 0000000000001856   
0601VDA0N       20200101001065100000005000 0000000000001860   
0601VDA0N       20200101001070100000005000 0000000000001865   
0601VDA0N       20200101001075100000005000 0000000000001873   
0601VDA0N       20200101001080100000005000 0000000000001877   
0601VDA0N       20200101001085100000005000 0000000000001883   
0601VDA0N       20200101001090100000005000 0000000000001888   
0601VDA0N       20200101001095100000005000 0000000000001895   
0601VDA0N       20200101001100100000005000 0000000000001900   
0601VDA0N       20200101001105100000005000 0000000000001909   
0601VDA0N       20200101001110100000005000 0000000000001914   
0601VDA0N       20200101001115100000005000 0000000000001919   
0601VDA0N       20200101001120100000005000 0000000000001925   
0601VDA0N       20200101001125100000005000 0000000000001933   
0601VDA0N       20200101001130100000005000 0000000000001938   
0601VDA0N       20200101001135100000005000 0000000000001943   
0601VDA0N       20200101001140100000005000 0000000000001951   
0601VDA0N       20200101001145100000005000 0000000000001957   
0601VDA0N       20200101001150100000005000 0000000000001962   
0601VDA0N       20200101001155100000005000 0000000000001969   
0601VDA0N       20200101001160100000005000 0000000000001974   
0601VDA0N       20200101001165100000005000 0000000000001979   
0601VDA0N       20200101001170100000005000 0000000000001987   
0601VDA0N       20200101001175100000005000 0000000000001992   
0601VDA0N       20200101001180100000005000 0000000000001997   
0601VDA0N       20200101001185100000005000 0000000000002003   
0601VDA0N       20200101001190100000005000 0000000000002008   
0601VDA0N       20200101001195100000005000 0000000000002013   
0601VDA0N       20200101001200100000005000 0000000000002020   
0601VDA0N       20200101001205100000005000 0000000000002025   
0601VDA0N       20200101001210100000005000 0000000000002029   
0601VDA0N       20200101001215100000005000 0000000000002037   
0601VDA0N       20200101001220100000005000 0000000000002041   
0601VDA0N       20200101001225100000005000 0000000000002046   
0601VDA0N       20200101001230100000005000 0000000000002052   
0601VDA0N       20200101001235100000005000 0000000000002057   
0601VDA0N       20200101001240100000005000 0000000000002061   
0601VDA0N       20200101001245100000005000 0000000000002068   
