00LU               20181210                                                                                   
0601LUA0N       20190101000725100000005000 0000008410001156   
0601LUA0N       20190101000730100000005000 0000008500001160   
0601LUA0N       20190101000735100000005000 0000008590001165   
0601LUA0N       20190101000740100000005000 0000008670001168   
0601LUA0N       20190101000745100000005000 0000008770001173   
0601LUA0N       20190101000750100000005000 0000008860001177   
0601LUA0N       20190101000755100000005000 0000008950001182   
0601LUA0N       20190101000760100000005000 0000009030001184   
0601LUA0N       20190101000765100000005000 0000009120001188   
0601LUA0N       20190101000770100000005000 0000009200001191   
0601LUA0N       20190101000775100000005000 0000009300001196   
0601LUA0N       20190101000780100000005000 0000009390001200   
0601LUA0N       20190101000785100000005000 0000009490001205   
0601LUA0N       20190101000790100000005000 0000009590001210   
0601LUA0N       20190101000795100000005000 0000009690001215   
0601LUA0N       20190101000800100000005000 0000009790001220   
0601LUA0N       20190101000805100000005000 0000009890001225   
0601LUA0N       20190101000810100000005000 0000009980001228   
0601LUA0N       20190101000815100000005000 0000010080001233   
0601LUA0N       20190101000820100000005000 0000010180001238   
0601LUA0N       20190101000825100000005000 0000010280001242   
0601LUA0N       20190101000830100000005000 0000010380001247   
0601LUA0N       20190101000835100000005000 0000010480001251   
0601LUA0N       20190101000840100000005000 0000010580001256   
0601LUA0N       20190101000845100000005000 0000010680001260   
0601LUA0N       20190101000850100000005000 0000010780001265   
0601LUA0N       20190101000855100000005000 0000010880001269   
0601LUA0N       20190101000860100000005000 0000010990001274   
0601LUA0N       20190101000865100000005000 0000011090001278   
0601LUA0N       20190101000870100000005000 0000011190001283   
0601LUA0N       20190101000875100000005000 0000011290001287   
0601LUA0N       20190101000880100000005000 0000011410001293   
0601LUA0N       20190101000885100000005000 0000011510001297   
0601LUA0N       20190101000890100000005000 0000011610001301   
0601LUA0N       20190101000895100000005000 0000011710001305   
0601LUA0N       20190101000900100000005000 0000011820001310   
0601LUA0N       20190101000905100000005000 0000011920001313   
0601LUA0N       20190101000910100000005000 0000012020001317   
0601LUA0N       20190101000915100000005000 0000012120001321   
0601LUA0N       20190101000920100000005000 0000012220001325   
0601LUA0N       20190101000925100000005000 0000012320001328   
0601LUA0N       20190101000930100000005000 0000012420001332   
0601LUA0N       20190101000935100000005000 0000012520001335   
0601LUA0N       20190101000940100000005000 0000012620001339   
0601LUA0N       20190101000945100000005000 0000012730001344   
0601LUA0N       20190101000950100000005000 0000012830001347   
0601LUA0N       20190101000955100000005000 0000012930001350   
0601LUA0N       20190101000960100000005000 0000013030001354   
0601LUA0N       20190101000965100000005000 0000013130001357   
0601LUA0N       20190101000970100000005000 0000013230001360   
0601LUA0N       20190101000975100000005000 0000013330001364   
0601LUA0N       20190101000980100000005000 0000013430001367   
0601LUA0N       20190101000985100000005000 0000013540001371   
0601LUA0N       20190101000990100000005000 0000013640001374   
0601LUA0N       20190101000995100000005000 0000013740001377   
0601LUA0N       20190101001000100000005000 0000013840001381   
0601LUA0N       20190101001005100000005000 0000013940001384   
0601LUA0N       20190101001010100000005000 0000014040001387   
0601LUA0N       20190101001015100000005000 0000014160001392   
0601LUA0N       20190101001020100000005000 0000014260001395   
0601LUA0N       20190101001025100000005000 0000014360001398   
0601LUA0N       20190101001030100000005000 0000014470001401   
