00ZH               20200120                                                                                   
0601ZHA0N       20140101000660100000005000 0000000000000786   
0601ZHA0N       20140101000665100000005000 0000000000000793   
0601ZHA0N       20140101000670100000005000 0000000000000797   
0601ZHA0N       20140101000675100000005000 0000000000000803   
0601ZHA0N       20140101000680100000005000 0000000000000807   
0601ZHA0N       20140101000685100000005000 0000000000000813   
0601ZHA0N       20140101000690100000005000 0000000000000817   
0601ZHA0N       20140101000695100000005000 0000000000000823   
0601ZHA0N       20140101000700100000005000 0000000000000828   
0601ZHA0N       20140101000705100000005000 0000000000000833   
0601ZHA0N       20140101000710100000005000 0000000000000838   
0601ZHA0N       20140101000715100000005000 0000000000000842   
0601ZHA0N       20140101000720100000005000 0000000000000847   
0601ZHA0N       20140101000725100000005000 0000000000000851   
0601ZHA0N       20140101000730100000005000 0000000000000856   
0601ZHA0N       20140101000735100000005000 0000000000000860   
0601ZHA0N       20140101000740100000005000 0000000000000866   
0601ZHA0N       20140101000745100000005000 0000000000000870   
0601ZHA0N       20140101000750100000005000 0000000000000874   
0601ZHA0N       20140101000755100000005000 0000000000000878   
0601ZHA0N       20140101000760100000005000 0000000000000883   
0601ZHA0N       20140101000765100000005000 0000000000000886   
0601ZHA0N       20140101000770100000005000 0000000000000891   
0601ZHA0N       20140101000775100000005000 0000000000000894   
0601ZHA0N       20140101000780100000005000 0000000000000901   
0601ZHA0N       20140101000785100000005000 0000000000000907   
0601ZHA0N       20140101000790100000005000 0000000000000911   
0601ZHA0N       20140101000795100000005000 0000000000000918   
0601ZHA0N       20140101000800100000005000 0000000000000922   
0601ZHA0N       20140101000805100000005000 0000000000000928   
0601ZHA0N       20140101000810100000005000 0000000000000932   
0601ZHA0N       20140101000815100000005000 0000000000000938   
0601ZHA0N       20140101000820100000005000 0000000000000942   
0601ZHA0N       20140101000825100000005000 0000000000000947   
0601ZHA0N       20140101000830100000005000 0000000000000951   
0601ZHA0N       20140101000835100000005000 0000000000000958   
0601ZHA0N       20140101000840100000005000 0000000000000963   
0601ZHA0N       20140101000845100000005000 0000000000000970   
0601ZHA0N       20140101000850100000005000 0000000000000975   
0601ZHA0N       20140101000855100000005000 0000000000000981   
0601ZHA0N       20140101000860100000005000 0000000000000986   
0601ZHA0N       20140101000865100000005000 0000000000000993   
0601ZHA0N       20140101000870100000005000 0000000000000997   
0601ZHA0N       20140101000875100000005000 0000000000001004   
0601ZHA0N       20140101000880100000005000 0000000000001011   
0601ZHA0N       20140101000885100000005000 0000000000001015   
0601ZHA0N       20140101000890100000005000 0000000000001022   
0601ZHA0N       20140101000895100000005000 0000000000001026   
0601ZHA0N       20140101000900100000005000 0000000000001032   
0601ZHA0N       20140101000905100000005000 0000000000001036   
0601ZHA0N       20140101000910100000005000 0000000000001042   
0601ZHA0N       20140101000915100000005000 0000000000001046   
0601ZHA0N       20140101000920100000005000 0000000000001051   
0601ZHA0N       20140101000925100000005000 0000000000001056   
0601ZHA0N       20140101000930100000005000 0000000000001062   
0601ZHA0N       20140101000935100000005000 0000000000001066   
0601ZHA0N       20140101000940100000005000 0000000000001072   
0601ZHA0N       20140101000945100000005000 0000000000001075   
0601ZHA0N       20140101000950100000005000 0000000000001080   
0601ZHA0N       20140101000955100000005000 0000000000001084   
0601ZHA0N       20140101000960100000005000 0000000000001090   
0601ZHA0N       20140101000965100000005000 0000000000001094   
0601ZHA0N       20140101000970100000005000 0000000000001099   
0601ZHA0N       20140101000975100000005000 0000000000001104   
0601ZHA0N       20140101000980100000005000 0000000000001107   
0601ZHA0N       20140101000985100000005000 0000000000001113   
0601ZHA0N       20140101000990100000005000 0000000000001116   
0601ZHA0N       20140101000995100000005000 0000000000001122   
0601ZHA0N       20140101001000100000005000 0000000000001125   
0601ZHA0N       20140101001005100000005000 0000000000001132   
0601ZHA0N       20140101001010100000005000 0000000000001136   
0601ZHA0N       20140101001015100000005000 0000000000001142   
0601ZHA0N       20140101001020100000005000 0000000000001146   
0601ZHA0N       20140101001025100000005000 0000000000001151   
0601ZHA0N       20140101001030100000005000 0000000000001155   
0601ZHA0N       20140101001035100000005000 0000000000001160   
0601ZHA0N       20140101001040100000005000 0000000000001165   
0601ZHA0N       20140101001045100000005000 0000000000001171   
0601ZHA0N       20140101001050100000005000 0000000000001175   
0601ZHA0N       20140101001055100000005000 0000000000001180   
0601ZHA0N       20140101001060100000005000 0000000000001185   
0601ZHA0N       20140101001065100000005000 0000000000001191   
0601ZHA0N       20140101001070100000005000 0000000000001194   
0601ZHA0N       20140101001075100000005000 0000000000001199   
0601ZHA0N       20140101001080100000005000 0000000000001204   
0601ZHA0N       20140101001085100000005000 0000000000001209   
0601ZHA0N       20140101001090100000005000 0000000000001216   
0601ZHA0N       20140101001095100000005000 0000000000001220   
0601ZHA0N       20140101001100100000005000 0000000000001225   
0601ZHA0N       20140101001105100000005000 0000000000001231   
0601ZHA0N       20140101001110100000005000 0000000000001237   
0601ZHA0N       20140101001115100000005000 0000000000001242   
0601ZHA0N       20140101001120100000005000 0000000000001246   
0601ZHA0N       20140101001125100000005000 0000000000001251   
0601ZHA0N       20140101001130100000005000 0000000000001258   
0601ZHA0N       20140101001135100000005000 0000000000001262   
0601ZHA0N       20140101001140100000005000 0000000000001267   
0601ZHA0N       20140101001145100000005000 0000000000001272   
0601ZHA0N       20140101001150100000005000 0000000000001278   
0601ZHA0N       20140101001155100000005000 0000000000001283   
0601ZHA0N       20140101001160100000005000 0000000000001288   
0601ZHA0N       20140101001165100000005000 0000000000001292   
0601ZHA0N       20140101001170100000005000 0000000000001299   
0601ZHA0N       20140101001175100000005000 0000000000001304   
0601ZHA0N       20140101001180100000005000 0000000000001309   
0601ZHA0N       20140101001185100000005000 0000000000001315   
0601ZHA0N       20140101001190100000005000 0000000000001321   
0601ZHA0N       20140101001195100000005000 0000000000001325   
0601ZHA0N       20140101001200100000005000 0000000000001331   
0601ZHA0N       20140101001205100000005000 0000000000001336   
0601ZHA0N       20140101001210100000005000 0000000000001342   
0601ZHA0N       20140101001215100000005000 0000000000001347   
0601ZHA0N       20140101001220100000005000 0000000000001352   
0601ZHA0N       20140101001225100000005000 0000000000001356   
0601ZHA0N       20140101001230100000005000 0000000000001361   
0601ZHA0N       20140101001235100000005000 0000000000001367   
0601ZHA0N       20140101001240100000005000 0000000000001372   
0601ZHA0N       20140101001245100000005000 0000000000001377   
0601ZHA0N       20140101001250100000005000 0000000000001381   
0601ZHA0N       20140101001255100000005000 0000000000001387   
0601ZHA0N       20140101001260100000005000 0000000000001392   
0601ZHA0N       20140101001265100000005000 0000000000001396   
0601ZHA0N       20140101001270100000005000 0000000000001400   
0601ZHA0N       20140101001275100000005000 0000000000001407   
0601ZHA0N       20140101001280100000005000 0000000000001411   
0601ZHA0N       20140101001285100000005000 0000000000001415   
0601ZHA0N       20140101001290100000005000 0000000000001420   
0601ZHA0N       20140101001295100000005000 0000000000001425   
0601ZHA0N       20140101001300100000005000 0000000000001430   
0601ZHA0N       20140101001305100000005000 0000000000001434   
0601ZHA0N       20140101001310100000005000 0000000000001438   
0601ZHA0N       20140101001315100000005000 0000000000001443   
0601ZHA0N       20140101001320100000005000 0000000000001447   
0601ZHA0N       20140101001325100000005000 0000000000001452   
0601ZHA0N       20140101001330100000005000 0000000000001455   
0601ZHA0N       20140101001335100000005000 0000000000001461   
0601ZHA0N       20140101001340100000005000 0000000000001464   
0601ZHA0N       20140101001345100000005000 0000000000001469   
0601ZHA0N       20140101001350100000005000 0000000000001473   
0601ZHA0N       20140101001355100000005000 0000000000001476   
0601ZHA0N       20140101001360100000005000 0000000000001481   
0601ZHA0N       20140101001365100000005000 0000000000001485   
0601ZHA0N       20140101001370100000005000 0000000000001489   
0601ZHA0N       20140101001375100000005000 0000000000001493   
0601ZHA0N       20140101001380100000005000 0000000000001499   
0601ZHA0N       20140101001385100000005000 0000000000001503   
0601ZHA0N       20140101001390100000005000 0000000000001507   
0601ZHA0N       20140101001395100000005000 0000000000001513   
0601ZHA0N       20140101001400100000005000 0000000000001518   
0601ZHA0N       20140101001405100000005000 0000000000001522   
0601ZHA0N       20140101001410100000005000 0000000000001526   
0601ZHA0N       20140101001415100000005000 0000000000001530   
0601ZHA0N       20140101001420100000005000 0000000000001535   
0601ZHA0N       20140101001425100000005000 0000000000001540   
0601ZHA0N       20140101001430100000005000 0000000000001544   
0601ZHA0N       20140101001435100000005000 0000000000001548   
0601ZHA0N       20140101001440100000005000 0000000000001554   
0601ZHA0N       20140101001445100000005000 0000000000001558   
0601ZHA0N       20140101001450100000005000 0000000000001561   
0601ZHA0N       20140101001455100000005000 0000000000001566   
0601ZHA0N       20140101001460100000005000 0000000000001571   
0601ZHA0N       20140101001465100000005000 0000000000001575   
0601ZHA0N       20140101001470100000005000 0000000000001579   
0601ZHA0N       20140101001475100000005000 0000000000001582   
0601ZHA0N       20140101001480100000005000 0000000000001588   
0601ZHA0N       20140101001485100000005000 0000000000001593   
0601ZHA0N       20140101001490100000005000 0000000000001597   
0601ZHA0N       20140101001495100000005000 0000000000001601   
0601ZHA0N       20140101001500100000005000 0000000000001606   
0601ZHA0N       20140101001505100000005000 0000000000001611   
0601ZHA0N       20140101001510100000005000 0000000000001615   
0601ZHA0N       20140101001515100000005000 0000000000001620   
0601ZHA0N       20140101001520100000005000 0000000000001624   
0601ZHA0N       20140101001525100000005000 0000000000001629   
0601ZHA0N       20140101001530100000005000 0000000000001634   
0601ZHA0N       20140101001535100000005000 0000000000001638   
0601ZHA0N       20140101001540100000005000 0000000000001641   
0601ZHA0N       20140101001545100000005000 0000000000001647   
0601ZHA0N       20140101001550100000005000 0000000000001651   
0601ZHA0N       20140101001555100000005000 0000000000001655   
0601ZHA0N       20140101001560100000005000 0000000000001659   
0601ZHA0N       20140101001565100000005000 0000000000001664   
0601ZHA0N       20140101001570100000005000 0000000000001668   
0601ZHA0N       20140101001575100000005000 0000000000001672   
0601ZHA0N       20140101001580100000005000 0000000000001676   
0601ZHA0N       20140101001585100000005000 0000000000001681   
0601ZHA0N       20140101001590100000005000 0000000000001684   
0601ZHA0N       20140101001595100000005000 0000000000001689   
0601ZHA0N       20140101001600100000200000 0000000000001762   
0601ZHA0N       20140101001800100000200000 0000000000001906   
0601ZHA0N       20140101002000100000500000 0000000000002128   
0601ZHA0N       20140101002500100000500000 0000000000002363   
0601ZHA0N       20140101003000100000500000 0000000000002547   
0601ZHA0N       20140101003500100000500000 0000000000002681   
0601ZHA0N       20140101004000100000500000 0000000000002783   
0601ZHA0N       20140101004500100000500000 0000000000002864   
0601ZHA0N       20140101005000100005000000 0000000000003110   
0601ZHA0N       20140101010000100005000000 0000000000003183   
0601ZHA1N       20140101000000100000080000 0100000000000026   
0601ZHA1N       20140101000080100000005000 0100000000000024   
0601ZHA1N       20140101000085100000005000 0100000000000023   
0601ZHA1N       20140101000090100000005000 0100000000000022   
0601ZHA1N       20140101000095100000005000 0100000000000021   
0601ZHA1N       20140101000100100000005000 0100000000000020   
0601ZHA1N       20140101000105100000005000 0100000000000019   
0601ZHA1N       20140101000110100000005000 0100000000000018   
0601ZHA1N       20140101000115100000005000 0100000000000017   
0601ZHA1N       20140101000120100000005000 0100000000000016   
0601ZHA1N       20140101000125100000005000 0100000000000016   
0601ZHA1N       20140101000130100000005000 0100000000000015   
0601ZHA1N       20140101000135100000005000 0100000000000015   
0601ZHA1N       20140101000140100000005000 0100000000000014   
0601ZHA1N       20140101000145100000005000 0100000000000014   
0601ZHA1N       20140101000150100000005000 0100000000000013   
0601ZHA1N       20140101000155100000005000 0100000000000013   
0601ZHA1N       20140101000160100000005000 0100000000000012   
0601ZHA1N       20140101000165100000005000 0100000000000012   
0601ZHA1N       20140101000170100000005000 0100000000000012   
0601ZHA1N       20140101000175100000005000 0100000000000011   
0601ZHA1N       20140101000180100000005000 0100000000000011   
0601ZHA1N       20140101000185100000005000 0100000000000011   
0601ZHA1N       20140101000190100000005000 0100000000000010   
0601ZHA1N       20140101000195100000005000 0100000000000010   
0601ZHA1N       20140101000200100000005000 0100000000000010   
0601ZHA1N       20140101000205100000005000 0100000000000010   
0601ZHA1N       20140101000210100000005000 0100000000000009   
0601ZHA1N       20140101000215100000005000 0100000000000009   
0601ZHA1N       20140101000220100000005000 0100000000000009   
0601ZHA1N       20140101000225100000005000 0100000000000009   
0601ZHA1N       20140101000230100000005000 0100000000000009   
0601ZHA1N       20140101000235100000005000 0100000000000008   
0601ZHA1N       20140101000240100000005000 0100000000000008   
0601ZHA1N       20140101000245100000005000 0100000000000008   
0601ZHA1N       20140101000250100000005000 0100000000000008   
